Year,ICD10_Code,ICD10_Diagnosis,Classification,Metric_Primary,Metric_Secondary,Metric_Tertiary,Value
2005/06,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,104942
2005/06,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,87654
2005/06,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,225098
2005/06,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,306039
2005/06,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,38930
2005/06,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,96537
2005/06,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,11479
2005/06,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,7634
2005/06,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,23117
2005/06,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,14178
2005/06,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,2793
2005/06,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,114119
2005/06,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,61269
2005/06,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,12778
2005/06,All,All admissions,Hospital admissions,Attributable number,All admissions,All persons,457800
2005/06,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,All persons,163200
2005/06,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,All persons,109800
2005/06,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,All persons,147500
2005/06,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,All persons,16100
2005/06,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,66900
2005/06,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,9100
2005/06,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,23900
2005/06,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3700
2005/06,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,900
2005/06,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,34100
2005/06,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3000
2005/06,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5800
2005/06,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5400
2005/06,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,4900
2005/06,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5500
2005/06,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,4900
2005/06,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,83800
2005/06,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,21100
2005/06,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,36200
2005/06,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,77800
2005/06,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7800
2005/06,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,16500
2005/06,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7300
2005/06,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,1900
2005/06,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,12200
2005/06,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,2700
2005/06,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,1300
2005/06,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,13600
2005/06,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,6800
2005/06,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,700
2005/06,All,All admissions,Hospital admissions,Number of admissions,All admissions,Male,3831318
2005/06,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Male,785739
2005/06,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Male,621984
2005/06,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Male,207949
2005/06,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Male,480636
2005/06,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Male,473409
2005/06,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,47427
2005/06,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,9160
2005/06,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,24984
2005/06,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,3798
2005/06,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,.
2005/06,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,59918
2005/06,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,7126
2005/06,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,17820
2005/06,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,10597
2005/06,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,5689
2005/06,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,17669
2005/06,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,3135
2005/06,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,54047
2005/06,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,44830
2005/06,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,120179
2005/06,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,199546
2005/06,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,23010
2005/06,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,46317
2005/06,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,8715
2005/06,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,4805
2005/06,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,11846
2005/06,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,5691
2005/06,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,1126
2005/06,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,44098
2005/06,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,14203
2005/06,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,.
2005/06,All,All admissions,Hospital admissions,Attributable number,All admissions,Male,291200
2005/06,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,Male,115600
2005/06,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,Male,58600
2005/06,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,Male,101400
2005/06,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,Male,8300
2005/06,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,41900
2005/06,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,6900
2005/06,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,17800
2005/06,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3200
2005/06,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,.
2005/06,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,28100
2005/06,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,2600
2005/06,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,4900
2005/06,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,2700
2005/06,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3200
2005/06,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,4300
2005/06,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,2800
2005/06,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,43600
2005/06,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,12300
2005/06,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,24100
2005/06,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,56300
2005/06,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,4500
2005/06,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,9400
2005/06,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,5700
2005/06,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,1500
2005/06,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,6600
2005/06,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,1100
2005/06,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,500
2005/06,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,5800
2005/06,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,1600
2005/06,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,.
2005/06,All,All admissions,Hospital admissions,Number of admissions,All admissions,Female,4418012
2005/06,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Female,644289
2005/06,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Female,639818
2005/06,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Female,202988
2005/06,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Female,365076
2005/06,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Female,484336
2005/06,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,32867
2005/06,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,4121
2005/06,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,9458
2005/06,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,725
2005/06,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,7041
2005/06,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,19013
2005/06,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,3848
2005/06,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,7324
2005/06,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,9710
2005/06,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,7310
2005/06,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,12237
2005/06,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,2484
2005/06,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,50895
2005/06,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,42824
2005/06,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,104919
2005/06,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,106493
2005/06,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,15920
2005/06,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,50220
2005/06,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,2764
2005/06,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,2829
2005/06,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,11271
2005/06,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,8487
2005/06,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,1667
2005/06,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,70021
2005/06,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,47066
2005/06,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,12775
2005/06,All,All admissions,Hospital admissions,Attributable number,All admissions,Female,166600
2005/06,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,Female,47600
2005/06,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,Female,51200
2005/06,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,Female,46200
2005/06,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,Female,7900
2005/06,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,25000
2005/06,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,2200
2005/06,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,6100
2005/06,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,600
2005/06,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,900
2005/06,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,6000
2005/06,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,400
2005/06,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,900
2005/06,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,2700
2005/06,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,1700
2005/06,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,1200
2005/06,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,2100
2005/06,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,40300
2005/06,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,8900
2005/06,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,12200
2005/06,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,21500
2005/06,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,3300
2005/06,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,7100
2005/06,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,1600
2005/06,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,400
2005/06,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,5600
2005/06,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,1500
2005/06,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,700
2005/06,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,7800
2005/06,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,5200
2005/06,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,700
2004/05,All,All admissions,Hospital admissions,Number of admissions,All admissions,All persons,7846548
2004/05,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,All persons,1401878
2004/05,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,All persons,1179955
2004/05,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,All persons,404875
2004/05,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,All persons,823479
2004/05,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,All persons,883439
2004/05,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,73491
2004/05,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,12029
2004/05,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,31358
2004/05,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,4148
2004/05,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,6390
2004/05,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,74227
2004/05,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,10040
2004/05,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,23172
2004/05,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,18340
2004/05,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,13254
2004/05,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,28033
2004/05,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,5757
2004/05,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,107422
2004/05,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,82877
2004/05,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,216998
2004/05,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,305650
2004/05,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,36995
2004/05,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,96297
2004/05,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,11365
2004/05,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,7676
2004/05,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,23302
2004/05,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,12396
2004/05,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,2638
2004/05,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,126456
2004/05,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,59509
2004/05,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,12058
2004/05,All,All admissions,Hospital admissions,Attributable number,All admissions,All persons,452300
2004/05,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,All persons,152600
2004/05,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,All persons,111500
2004/05,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,All persons,149400
2004/05,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,All persons,16200
2004/05,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,61700
2004/05,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,8300
2004/05,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,22000
2004/05,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3400
2004/05,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,900
2004/05,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,32600
2004/05,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,2800
2004/05,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5500
2004/05,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5000
2004/05,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5100
2004/05,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5200
2004/05,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,5000
2004/05,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,86400
2004/05,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,20100
2004/05,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,36100
2004/05,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,79400
2004/05,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7700
2004/05,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,16900
2004/05,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7400
2004/05,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,1900
2004/05,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,12600
2004/05,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,2400
2004/05,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,1200
2004/05,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,15500
2004/05,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,6400
2004/05,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,700
2004/05,All,All admissions,Hospital admissions,Number of admissions,All admissions,Male,3638275
2004/05,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Male,764401
2004/05,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Male,577402
2004/05,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Male,205196
2004/05,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Male,466662
